incident_id,resident_id,safehouse_id,incident_date,incident_type,severity,description,response_taken,resolved,resolution_date,reported_by,follow_up_required
1,1,4,2024-06-22,Medical,Medium,Medical incident reported on 2024-06-22,Response to medical,True,2024-07-01,SW-19,False
2,1,4,2026-02-10,Security,High,Security incident reported on 2026-02-10,Response to security,False,,SW-20,True
3,1,4,2024-02-03,RunawayAttempt,Low,RunawayAttempt incident reported on 2024-02-03,Response to runawayattempt,True,2024-02-10,SW-18,False
4,1,4,2025-04-17,Behavioral,Low,Behavioral incident reported on 2025-04-17,Response to behavioral,True,2025-04-23,SW-12,False
5,3,1,2025-05-12,SelfHarm,High,SelfHarm incident reported on 2025-05-12,Response to selfharm,False,,SW-08,True
6,3,1,2025-02-06,Security,Low,Security incident reported on 2025-02-06,Response to security,False,,SW-01,True
7,4,2,2024-10-01,Security,Low,Security incident reported on 2024-10-01,Response to security,True,2024-10-04,SW-16,False
8,4,2,2025-07-08,Security,Low,Security incident reported on 2025-07-08,Response to security,True,2025-07-10,SW-12,False
9,4,2,2025-12-16,ConflictWithPeer,High,ConflictWithPeer incident reported on 2025-12-16,Response to conflictwithpeer,True,2025-12-27,SW-04,True
10,5,4,2024-02-12,Behavioral,High,Behavioral incident reported on 2024-02-12,Response to behavioral,True,2024-02-21,SW-12,True
11,5,4,2024-07-02,Security,Medium,Security incident reported on 2024-07-02,Response to security,False,,SW-20,True
12,6,5,2025-12-30,ConflictWithPeer,Low,ConflictWithPeer incident reported on 2025-12-30,Response to conflictwithpeer,True,2025-12-31,SW-04,False
13,6,5,2025-11-22,Medical,Medium,Medical incident reported on 2025-11-22,Response to medical,True,2025-11-29,SW-09,False
14,7,6,2025-09-06,Behavioral,Low,Behavioral incident reported on 2025-09-06,Response to behavioral,True,2025-09-08,SW-10,False
15,8,4,2024-08-18,ConflictWithPeer,Medium,ConflictWithPeer incident reported on 2024-08-18,Response to conflictwithpeer,True,2024-08-29,SW-07,False
16,8,4,2024-03-07,SelfHarm,High,SelfHarm incident reported on 2024-03-07,Response to selfharm,True,2024-03-20,SW-03,True
17,8,4,2024-09-09,Security,Medium,Security incident reported on 2024-09-09,Response to security,False,,SW-07,True
18,10,1,2025-11-07,RunawayAttempt,High,RunawayAttempt incident reported on 2025-11-07,Response to runawayattempt,True,2025-11-15,SW-08,True
